Player,School,Conf,Year,G,Touchdowns_Rush,Touchdowns_Rec,Touchdowns_Int,Touchdowns_FR,Touchdowns_PR,Touchdowns_KR,Touchdowns_Oth,Touchdowns_Tot,Kicking_XPM,Kicking_FGM,Other_2PM,Other_Sfty,Pts
Blake Corum*,Michigan,Big Ten,2023,15,27,1,0,0,0,0,0,28,0,0,0,0,168
Bert Auburn*,Texas,Big 12,2023,14,0,0,0,0,0,0,0,0,56,29,0,0,143
Peyton Woodring*,Georgia,SEC,2023,14,0,0,0,0,0,0,0,0,71,21,0,0,134
Ollie Gordon*,Oklahoma State,Big 12,2023,14,21,1,0,0,0,0,0,22,0,0,0,0,132
Re'Mahn Davis*,Kentucky,SEC,2023,13,14,7,0,0,0,0,0,21,0,0,0,0,126
Randy Bond*,Texas A&M,SEC,2023,13,0,0,0,0,0,0,0,0,48,26,0,0,126
Will Reichard*,Alabama,SEC,2023,14,0,0,0,0,0,0,0,0,55,22,0,0,121
James Turner*,Michigan,Big Ten,2023,15,0,0,0,0,0,0,0,0,65,18,0,0,119
Alex Hale*,Oklahoma State,Big 12,2023,13,0,0,0,0,0,0,0,0,36,27,0,0,117
Harrison Mevis*,Missouri,SEC,2023,13,0,0,0,0,0,0,0,0,45,24,0,0,117
Ryan Fitzgerald*,Florida State,ACC,2023,14,0,0,0,0,0,0,0,0,58,19,0,0,115
Damian Ramos*,LSU,SEC,2023,13,0,0,0,0,0,0,0,0,77,12,0,0,113
Zach Schmit*,Oklahoma,Big 12,2023,13,0,0,0,0,0,0,0,0,67,15,0,0,112
Andres Borregales*,Miami (FL),ACC,2023,13,0,0,0,0,0,0,0,0,44,22,0,0,110
John Love*,Virginia Tech,ACC,2023,13,0,0,0,0,0,0,0,0,44,22,0,0,110
Quinshon Judkins*,Ole Miss,SEC,2023,13,15,2,0,0,0,0,0,17,0,0,1,0,104
Alex Felkins*,Penn State,Big Ten,2023,13,0,0,0,0,0,0,0,0,47,19,0,0,104
Charles Campbell*,Tennessee,SEC,2023,13,0,0,0,0,0,0,0,0,49,18,0,0,103
Devin Neal*,Kansas,Big 12,2023,13,16,1,0,0,0,0,0,17,0,0,0,0,102
R.J. Harvey*,UCF,Big 12,2023,13,16,1,0,0,0,0,0,17,0,0,0,0,102
Brian Thomas Jr.*,LSU,SEC,2023,13,0,17,0,0,0,0,0,17,0,0,0,0,102
Noah Burnette*,North Carolina,ACC,2023,11,0,0,0,0,0,0,0,0,43,19,0,0,100
Chase Contreraz*,Iowa State,Big 12,2023,13,0,0,0,0,0,0,0,0,36,21,0,0,99
Caden Davis*,Ole Miss,SEC,2023,13,0,0,0,0,0,0,0,0,45,18,0,0,99
Michael Hayes*,West Virginia,Big 12,2023,13,0,0,0,0,0,0,0,0,46,17,0,0,97
Jayden Fielding*,Ohio State,Big Ten,2023,13,0,0,0,0,0,0,0,0,49,16,0,0,97
Omarion Hampton*,North Carolina,ACC,2023,13,15,1,0,0,0,0,0,16,0,0,0,0,96
Dragan Kesich*,Minnesota,Big Ten,2023,13,0,0,0,0,0,0,0,0,27,23,0,0,96
Cam Little,Arkansas,SEC,2023,12,0,0,0,0,0,0,0,0,33,20,0,0,93
Brayden Narveson*,North Carolina State,ACC,2023,13,0,0,0,0,0,0,0,0,38,18,0,0,92
Todd Pelino*,Duke,ACC,2023,12,0,0,0,0,0,0,0,0,38,18,0,0,92
Trey Benson*,Florida State,ACC,2023,13,14,1,0,0,0,0,0,15,0,0,0,0,90
Marvin Harrison Jr.*,Ohio State,Big Ten,2023,12,1,14,0,0,0,0,0,15,0,0,0,0,90
Brock Travelstead*,Louisville,ACC,2023,14,0,0,0,0,0,0,0,0,39,17,0,0,90
Chris Tennant*,Kansas State,Big 12,2023,13,0,0,0,0,0,0,0,0,56,11,0,0,89
Aidan Birr*,Georgia Tech,ACC,2023,12,0,0,0,0,0,0,0,0,37,17,0,0,88
Gino Garcia*,Texas Tech,Big 12,2023,13,0,0,0,0,0,0,0,0,40,16,0,0,88
Colton Boomer*,UCF,Big 12,2023,13,0,0,0,0,0,0,0,0,48,13,0,0,87
Cody Schrader*,Missouri,SEC,2023,13,14,0,0,0,0,0,0,14,0,0,1,0,86
Malik Nabers*,LSU,SEC,2023,13,0,14,0,0,0,0,0,14,0,0,1,0,86
Griffin Kell,TCU,Big 12,2023,12,0,0,0,0,0,0,0,0,44,14,0,0,86
Will Bettridge,Virginia,ACC,2023,12,0,0,0,0,0,0,0,0,31,18,0,0,85
Jack Howes*,Maryland,Big Ten,2023,13,0,0,0,0,0,0,0,0,46,13,0,0,85
Bhayshul Tuten*,Virginia Tech,ACC,2023,13,10,2,0,0,0,2,0,14,0,0,0,0,84
Jawhar Jordan*,Louisville,ACC,2023,13,13,1,0,0,0,0,0,14,0,0,0,0,84
Kendall Milton*,Georgia,SEC,2023,13,14,0,0,0,0,0,0,14,0,0,0,0,84
Seth Keller*,Kansas,Big 12,2023,13,0,0,0,0,0,0,0,0,47,11,0,0,80
Trey Smack,Florida,SEC,2023,12,0,0,0,0,0,0,0,0,29,17,0,0,80
Nathanial Vakos*,Wisconsin,Big Ten,2023,13,0,0,0,0,0,0,0,0,34,15,0,0,79
Alex McPherson*,Auburn,SEC,2023,13,0,0,0,0,0,0,0,0,40,13,0,0,79
Phil Mafah*,Clemson,ACC,2023,13,13,0,0,0,0,0,0,13,0,0,0,0,78
Thomas Castellanos*,Boston College,ACC,2023,13,13,0,0,0,0,0,0,13,0,0,0,0,78
DJ Giddens*,Kansas State,Big 12,2023,13,10,3,0,0,0,0,0,13,0,0,0,0,78
Garrett Greene*,West Virginia,Big 12,2023,12,13,0,0,0,0,0,0,13,0,0,0,0,78
Daijun Edwards*,Georgia,SEC,2023,12,13,0,0,0,0,0,0,13,0,0,0,0,78
Jai Patel*,Rutgers,Big Ten,2023,12,0,0,0,0,0,0,0,0,33,15,0,0,78
Alex Raynor*,Kentucky,SEC,2023,13,0,0,0,0,0,0,0,0,48,10,0,0,78
Carter Brown,Cincinnati,Big 12,2023,12,0,0,0,0,0,0,0,0,30,15,0,0,75
Isaiah Hankins,Baylor,Big 12,2023,12,0,0,0,0,0,0,0,0,21,18,0,0,75
Jack Olsen*,Northwestern,Big Ten,2023,13,0,0,0,0,0,0,0,0,33,14,0,0,75
Kyle Ferrie,Mississippi State,SEC,2023,12,0,0,0,0,0,0,0,0,27,16,0,0,75
Drew Stevens*,Iowa,Big Ten,2023,14,0,0,0,0,0,0,0,0,19,18,0,0,73
Jordan Waters*,Duke,ACC,2023,13,12,0,0,0,0,0,0,12,0,0,0,0,72
Dillon Gabriel*,Oklahoma,Big 12,2023,12,12,0,0,0,0,0,0,12,0,0,0,0,72
Braelon Allen*,Wisconsin,Big Ten,2023,11,12,0,0,0,0,0,0,12,0,0,0,0,72
Roman Wilson*,Michigan,Big Ten,2023,15,0,12,0,0,0,0,0,12,0,0,0,0,72
Jalen Milroe*,Alabama,SEC,2023,13,12,0,0,0,0,0,0,12,0,0,0,0,72
Jonathan Weitz*,Clemson,ACC,2023,10,0,0,0,0,0,0,0,0,29,14,0,0,71
Liam Connor*,Boston College,ACC,2023,13,0,0,0,0,0,0,0,0,36,11,0,0,69
Mitch Jeter,South Carolina,SEC,2023,12,0,0,0,0,0,0,0,0,33,12,0,0,69
CJ Donaldson*,West Virginia,Big 12,2023,12,11,0,0,0,0,0,0,11,0,0,1,0,68
Isaac Guerendo*,Louisville,ACC,2023,14,11,0,0,0,0,0,0,11,0,0,0,0,66
Keon Coleman*,Florida State,ACC,2023,12,0,11,0,0,0,0,0,11,0,0,0,0,66
Adonai Mitchell*,Texas,Big 12,2023,14,0,11,0,0,0,0,0,11,0,0,0,0,66
Jonathon Brooks*,Texas,Big 12,2023,11,10,1,0,0,0,0,0,11,0,0,0,0,66
Gavin Wimsatt*,Rutgers,Big Ten,2023,13,11,0,0,0,0,0,0,11,0,0,0,0,66
TreVeyon Henderson*,Ohio State,Big Ten,2023,10,11,0,0,0,0,0,0,11,0,0,0,0,66
Brady Denaburg*,Syracuse,ACC,2023,13,0,0,0,0,0,0,0,0,36,10,0,0,66
Caleb Griffin,Illinois,Big Ten,2023,12,0,0,0,0,0,0,0,0,24,14,0,0,66
Will Ferrin,Brigham Young,Big 12,2023,12,0,0,0,0,0,0,0,0,32,11,0,0,65
Will Howard*,Kansas State,Big 12,2023,12,9,1,0,0,0,0,0,10,0,0,2,0,64
Tahj Brooks*,Texas Tech,Big 12,2023,13,10,0,0,0,0,0,0,10,0,0,1,0,62
Nicholas Singleton*,Penn State,Big Ten,2023,13,8,2,0,0,0,0,0,10,0,0,1,0,62
Matthew Dennis,Wake Forest,ACC,2023,11,0,0,0,0,0,0,0,0,20,14,0,0,62
Ben Sauls,Pitt,ACC,2023,12,0,0,0,0,0,0,0,0,28,11,0,0,61
Haynes King*,Georgia Tech,ACC,2023,13,10,0,0,0,0,0,0,10,0,0,0,0,60
Kevin Concepcion*,North Carolina State,ACC,2023,13,0,10,0,0,0,0,0,10,0,0,0,0,60
LeQuint Allen*,Syracuse,ACC,2023,13,9,1,0,0,0,0,0,10,0,0,0,0,60
Drake Stoops*,Oklahoma,Big 12,2023,13,0,10,0,0,0,0,0,10,0,0,0,0,60
Nic Anderson*,Oklahoma,Big 12,2023,13,0,10,0,0,0,0,0,10,0,0,0,0,60
Jayden Daniels*,LSU,SEC,2023,12,10,0,0,0,0,0,0,10,0,0,0,0,60
Chris Freeman,Indiana,Big Ten,2023,12,0,0,0,0,0,0,0,0,29,10,0,0,59
Jack Martin,Houston,Big 12,2023,12,0,0,0,0,0,0,0,0,34,8,0,0,58
Luther Burden*,Missouri,SEC,2023,13,0,9,0,0,0,0,0,9,0,0,1,0,56
Jonathan Kim,Michigan State,Big Ten,2023,12,0,0,0,0,0,0,0,0,17,13,0,0,56
Drake Maye*,North Carolina,ACC,2023,12,9,0,0,0,0,0,0,9,0,0,0,0,54
Jacolby George*,Miami (FL),ACC,2023,13,1,8,0,0,0,0,0,9,0,0,0,0,54
Malik Washington,Virginia,ACC,2023,12,0,9,0,0,0,0,0,9,0,0,0,0,54
Emani Bailey,TCU,Big 12,2023,12,8,1,0,0,0,0,0,9,0,0,0,0,54
Gavin Sawchuk*,Oklahoma,Big 12,2023,12,9,0,0,0,0,0,0,9,0,0,0,0,54
Tyrone Tracy Jr.,Purdue,Big Ten,2023,11,8,0,0,0,0,1,0,9,0,0,0,0,54
Trevor Etienne,Florida,SEC,2023,11,8,1,0,0,0,0,0,9,0,0,0,0,54
Tristan Alvano,Nebraska,Big Ten,2023,12,0,0,0,0,0,0,0,0,27,9,0,0,54
Jared Wiley,TCU,Big 12,2023,12,0,8,0,0,0,0,0,8,0,0,1,0,50
Jacob Borcila,Vanderbilt,SEC,2023,12,0,0,0,0,0,0,0,0,29,7,0,0,50
Mike Hollins,Virginia,ACC,2023,11,7,1,0,0,0,0,0,8,0,0,0,0,48
Matthew Golden,Houston,Big 12,2023,9,0,6,0,0,0,2,0,8,0,0,0,0,48
Will Sheppard,Vanderbilt,SEC,2023,12,0,8,0,0,0,0,0,8,0,0,0,0,48
